promo_code,branch,customer_id,product_id,invoice_id,product_name,qty,unit_price,transaction_datetime,cost_price
CNY10,IP,C2668,BEV002,INV106564,Mineral Water 500ml,1.0,1.8,2025-05-20 09:23:00,0.6
YEAR_END15,PG,C1271,SNK002,INV107078,Chocolate Cookies 200g,2.0,8.2,2025-07-11 13:38:00,4.6
CNY10,PJ,C1644,PER002,INV107093,Body Wash 1L,2.0,14.2,2025-11-19 15:02:00,9.7
NONE,PG,C2287,FRS002,INV107194,Banana 1kg,2.0,5.5,2025-10-20 20:44:00,4.8
MEMBER8,JB,C2320,FRS001,INV107229,Apple Fuji 1kg,3.0,8.5,2025-06-29 12:58:00,7.0
MEMBER8,PG,C1618,BEV002,INV107304,Mineral Water 500ml,1.0,1.8,2025-09-25 09:34:00,0.6
NONE,PJ,C1608,SNK002,INV107408,Chocolate Cookies 200g,2.0,8.2,2025-12-04 11:14:00,4.6
NONE,JB,C2527,FRS002,INV107563,Banana 1kg,1.0,5.5,2025-01-25 21:58:00,4.8
MEMBER8,IP,C1296,PER001,INV107651,Shampoo 650ml,3.0,15.9,2025-06-07 18:21:00,10.4
MEMBER8,JB,C1363,SNK002,INV107774,Chocolate Cookies 200g,2.0,8.2,2025-12-17 19:12:00,4.6
NONE,CH,C2255,SNK001,INV107943,Potato Chips BBQ,4.0,6.9,2025-07-30 19:22:00,3.0
NONE,CH,C1462,BEV003,INV108104,Orange Juice 1L,3.0,7.9,2025-05-12 12:56:00,5.9
NONE,IP,C1786,PER001,INV108124,Shampoo 650ml,1.0,15.9,2025-09-13 17:29:00,10.4
NONE,KL,C2387,FRS001,INV108672,Apple Fuji 1kg,3.0,8.5,2025-11-01 11:14:00,7.0
NONE,PG,C2416,BEV003,INV108866,Orange Juice 1L,1.0,7.9,2025-01-21 12:39:00,5.9
MEMBER8,PJ,C1160,FRS002,INV109052,Banana 1kg,1.0,5.5,2025-10-22 16:21:00,4.8
NONE,PG,C2024,HOM002,INV109200,Dishwashing Liquid 900ml,4.0,9.5,2025-03-14 15:04:00,6.1
NONE,PJ,C2438,PER001,INV109324,Shampoo 650ml,3.0,15.9,2025-12-04 19:12:00,10.4
YEAR_END15,CH,C1967,HOM001,INV109348,Detergent 2kg,3.0,18.9,2025-04-29 16:58:00,15.2
NONE,SB,C1237,BEV002,INV109395,Mineral Water 500ml,4.0,1.8,2025-11-07 17:25:00,0.6
NONE,PJ,C1272,PER002,INV109855,Body Wash 1L,1.0,14.2,2025-01-28 21:41:00,9.7
CNY10,JB,C2011,PER002,INV109957,Body Wash 1L,1.0,14.2,2025-04-13 20:22:00,9.7
NONE,SB,C2252,HOM001,INV110047,Detergent 2kg,3.0,18.9,2025-12-11 11:34:00,15.2
NONE,CH,C2550,HOM001,INV110313,Detergent 2kg,1.0,18.9,2025-06-18 14:45:00,15.2
NONE,KL,C2061,PER001,INV110437,Shampoo 650ml,1.0,15.9,2025-10-05 19:24:00,10.4
NONE,IP,C1196,HOM001,INV110460,Detergent 2kg,2.0,18.9,2025-10-30 21:06:00,15.2
NONE,PG,C2033,FRZ001,INV110513,Chicken Nugget 1kg,1.0,14.9,2025-06-13 14:10:00,11.8
YEAR_END15,SB,C2534,FRZ001,INV110515,Chicken Nugget 1kg,2.0,14.9,2025-08-12 21:13:00,11.8
NONE,SB,C1193,FRS001,INV111780,Apple Fuji 1kg,1.0,8.5,2025-10-10 17:57:00,7.0
NONE,JB,C1545,HOM002,INV112010,Dishwashing Liquid 900ml,1.0,9.5,2025-08-19 15:44:00,6.1
NONE,KL,C1019,BEV003,INV112037,Orange Juice 1L,1.0,7.9,2025-01-03 18:37:00,5.9
YEAR_END15,PJ,C1162,BEV001,INV112107,Coca Cola 1.5L,1.0,4.5,2025-06-05 20:53:00,3.8
CNY10,PG,C2255,HOM002,INV112140,Dishwashing Liquid 900ml,2.0,9.5,2025-07-17 17:43:00,6.1
MEMBER8,CH,C2129,SNK001,INV112643,Potato Chips BBQ,3.0,6.9,2025-08-04 14:45:00,3.0
NONE,IP,C2154,SNK001,INV112647,Potato Chips BBQ,1.0,6.9,2025-02-02 12:41:00,3.0
CNY10,JB,C2078,FRS001,INV112669,Apple Fuji 1kg,2.0,8.5,2025-05-19 16:31:00,7.0
YEAR_END15,JB,C2494,SNK001,INV113022,Potato Chips BBQ,2.0,6.9,2025-08-22 10:53:00,3.0
CNY10,PG,C1919,SNK001,INV113256,Potato Chips BBQ,1.0,6.9,2025-07-17 11:58:00,3.0
NONE,JB,C1157,HOM001,INV113300,Detergent 2kg,2.0,18.9,2025-09-28 12:30:00,15.2
NONE,PG,C1667,BEV003,INV113824,Orange Juice 1L,1.0,7.9,2025-10-23 12:58:00,5.9
NONE,JB,C1330,SNK001,INV113910,Potato Chips BBQ,1.0,6.9,2025-05-26 14:43:00,3.0
NONE,KL,C1517,BEV003,INV113957,Orange Juice 1L,1.0,7.9,2025-02-19 15:50:00,5.9
LOSS30,PJ,C1670,FRS002,INV113992,Banana 1kg,1.0,5.5,2025-08-10 10:04:00,4.8
NONE,PG,C1579,HOM002,INV114133,Dishwashing Liquid 900ml,1.0,9.5,2025-04-08 10:22:00,6.1
NONE,PJ,C1788,BEV003,INV114566,Orange Juice 1L,2.0,7.9,2025-03-31 14:47:00,5.9
YEAR_END15,JB,C2455,PER001,INV115453,Shampoo 650ml,1.0,15.9,2025-03-02 10:31:00,10.4
LOSS30,CH,C2555,HOM001,INV115536,Detergent 2kg,3.0,18.9,2025-11-14 13:48:00,15.2
NONE,JB,C2788,FRS002,INV115630,Banana 1kg,3.0,5.5,2025-01-11 13:51:00,4.8
NONE,PG,C2143,SNK001,INV116102,Potato Chips BBQ,1.0,6.9,2025-10-24 12:03:00,3.0
NONE,PJ,C1636,FRZ001,INV116113,Chicken Nugget 1kg,2.0,14.9,2025-03-01 13:49:00,11.8
NONE,KL,C1736,SNK001,INV116509,Potato Chips BBQ,4.0,6.9,2025-12-01 20:39:00,3.0
NONE,PJ,C1733,SNK002,INV116696,Chocolate Cookies 200g,1.0,8.2,2025-03-04 13:03:00,4.6
NONE,IP,C1029,BEV001,INV117029,Coca Cola 1.5L,3.0,4.5,2025-08-15 19:36:00,3.8
NONE,PG,C2509,SNK001,INV117107,Potato Chips BBQ,2.0,6.9,2025-04-19 12:25:00,3.0
LOSS30,IP,C1847,FRS001,INV117125,Apple Fuji 1kg,2.0,8.5,2025-08-08 12:32:00,7.0
YEAR_END15,IP,C1642,PER002,INV117171,Body Wash 1L,2.0,14.2,2025-07-26 21:50:00,9.7
NONE,JB,C2697,HOM001,INV117373,Detergent 2kg,1.0,18.9,2025-06-18 16:00:00,15.2
MEMBER8,PJ,C1508,SNK001,INV117585,Potato Chips BBQ,5.0,6.9,2025-12-05 11:31:00,3.0
CNY10,PJ,C2511,FRZ001,INV117618,Chicken Nugget 1kg,2.0,14.9,2025-01-28 10:33:00,11.8
YEAR_END15,CH,C1683,BEV003,INV117770,Orange Juice 1L,4.0,7.9,2025-12-31 18:24:00,5.9
CNY10,PJ,C1265,FRZ001,INV118033,Chicken Nugget 1kg,2.0,14.9,2025-12-07 19:30:00,11.8
NONE,JB,C1326,HOM001,INV118061,Detergent 2kg,1.0,18.9,2025-10-18 16:58:00,15.2
CNY10,IP,C2050,FRS002,INV118099,Banana 1kg,3.0,5.5,2025-08-23 14:45:00,4.8
CNY10,CH,C1353,HOM001,INV118290,Detergent 2kg,2.0,18.9,2025-07-13 17:32:00,15.2
NONE,CH,C2266,HOM001,INV118386,Detergent 2kg,2.0,18.9,2025-09-19 15:50:00,15.2
YEAR_END15,SB,C1884,SNK002,INV118389,Chocolate Cookies 200g,2.0,8.2,2025-07-14 19:07:00,4.6
NONE,SB,C1372,BEV001,INV118578,Coca Cola 1.5L,2.0,4.5,2025-02-19 21:59:00,3.8
YEAR_END15,SB,C2375,BEV003,INV119298,Orange Juice 1L,1.0,7.9,2025-09-21 11:27:00,5.9
MEMBER8,PJ,C2063,HOM002,INV119666,Dishwashing Liquid 900ml,4.0,9.5,2025-03-03 21:23:00,6.1
YEAR_END15,IP,C1946,SNK001,INV119896,Potato Chips BBQ,4.0,6.9,2025-12-19 18:24:00,3.0
MEMBER8,CH,C2445,SNK002,INV119971,Chocolate Cookies 200g,2.0,8.2,2025-10-27 15:05:00,4.6
MEMBER8,PJ,C1140,FRS002,INV120043,Banana 1kg,2.0,5.5,2025-12-01 19:33:00,4.8
MEMBER8,SB,C1870,BEV003,INV120555,Orange Juice 1L,2.0,7.9,2025-05-25 18:56:00,5.9
LOSS30,PJ,C2410,FRZ001,INV120672,Chicken Nugget 1kg,1.0,14.9,2025-05-13 19:03:00,11.8
MEMBER8,PJ,C2432,BEV003,INV120730,Orange Juice 1L,2.0,7.9,2025-08-29 15:05:00,5.9
NONE,PG,C2393,HOM002,INV121151,Dishwashing Liquid 900ml,2.0,9.5,2025-02-13 13:22:00,6.1
NONE,SB,C1311,PER002,INV121224,Body Wash 1L,4.0,14.2,2025-11-12 14:00:00,9.7
YEAR_END15,CH,C2175,BEV003,INV121316,Orange Juice 1L,1.0,7.9,2025-06-07 14:53:00,5.9
NONE,JB,C2309,BEV003,INV121386,Orange Juice 1L,1.0,7.9,2025-01-02 16:21:00,5.9
LOSS30,PJ,C2034,PER001,INV121398,Shampoo 650ml,2.0,15.9,2025-01-01 13:52:00,10.4
NONE,JB,C1185,FRZ001,INV121838,Chicken Nugget 1kg,3.0,14.9,2025-11-22 17:26:00,11.8
MEMBER8,JB,C1499,SNK002,INV121846,Chocolate Cookies 200g,1.0,8.2,2025-10-20 20:38:00,4.6
NONE,PJ,C2332,FRS002,INV122418,Banana 1kg,3.0,5.5,2025-11-29 13:14:00,4.8
NONE,PJ,C2574,HOM002,INV122535,Dishwashing Liquid 900ml,1.0,9.5,2025-09-22 21:18:00,6.1
NONE,CH,C1771,HOM002,INV122870,Dishwashing Liquid 900ml,2.0,9.5,2025-02-08 10:15:00,6.1
NONE,PG,C1755,SNK002,INV123189,Chocolate Cookies 200g,1.0,8.2,2025-01-01 18:42:00,4.6
CNY10,JB,C2621,HOM001,INV123246,Detergent 2kg,4.0,18.9,2025-10-02 18:51:00,15.2
YEAR_END15,JB,C2524,PER002,INV123393,Body Wash 1L,4.0,14.2,2025-07-16 16:53:00,9.7
LOSS30,PG,C2649,HOM002,INV123410,Dishwashing Liquid 900ml,3.0,9.5,2025-06-18 09:03:00,6.1
NONE,PG,C1197,PER001,INV123417,Shampoo 650ml,3.0,15.9,2025-12-05 17:52:00,10.4
LOSS30,PJ,C2241,PER001,INV123535,Shampoo 650ml,2.0,15.9,2025-10-26 20:05:00,10.4
LOSS30,PJ,C2492,FRS002,INV123993,Banana 1kg,2.0,5.5,2025-03-22 14:59:00,4.8
NONE,SB,C1000,BEV001,INV124143,Coca Cola 1.5L,2.0,4.5,2025-06-27 12:23:00,3.8
NONE,PG,C2626,FRZ001,INV124535,Chicken Nugget 1kg,3.0,14.9,2025-12-07 20:05:00,11.8
YEAR_END15,CH,C1233,BEV001,INV124611,Coca Cola 1.5L,2.0,4.5,2025-11-06 14:48:00,3.8
NONE,CH,C2376,PER001,INV124916,Shampoo 650ml,2.0,15.9,2025-11-23 21:59:00,10.4
NONE,PJ,C2685,BEV002,INV125063,Mineral Water 500ml,1.0,1.8,2025-10-30 10:04:00,0.6
NONE,JB,C1091,PER002,INV125176,Body Wash 1L,4.0,14.2,2025-11-19 12:39:00,9.7
NONE,JB,C2451,HOM002,INV125438,Dishwashing Liquid 900ml,1.0,9.5,2025-06-12 13:46:00,6.1
NONE,IP,C2654,SNK002,INV125961,Chocolate Cookies 200g,41.0,8.2,2025-08-26 16:39:00,4.6
YEAR_END15,CH,C2343,PER002,INV126379,Body Wash 1L,1.0,14.2,2025-11-02 17:53:00,9.7
YEAR_END15,PJ,C2358,BEV001,INV126792,Coca Cola 1.5L,3.0,4.5,2025-12-07 17:26:00,3.8
NONE,CH,C2572,HOM002,INV126958,Dishwashing Liquid 900ml,5.0,9.5,2025-11-18 20:45:00,6.1
NONE,SB,C1966,BEV003,INV127100,Orange Juice 1L,3.0,7.9,2025-08-09 09:41:00,5.9
LOSS30,PJ,C2721,SNK001,INV127214,Potato Chips BBQ,2.0,6.9,2025-09-25 15:24:00,3.0
MEMBER8,CH,C1104,HOM001,INV127355,Detergent 2kg,2.0,18.9,2025-04-11 12:36:00,15.2
CNY10,JB,C1626,SNK002,INV127771,Chocolate Cookies 200g,1.0,8.2,2025-01-29 18:55:00,4.6
MEMBER8,CH,C1360,SNK002,INV127991,Chocolate Cookies 200g,1.0,8.2,2025-11-23 18:11:00,4.6
NONE,IP,C1124,FRS002,INV128170,Banana 1kg,1.0,5.5,2025-01-03 13:06:00,4.8
LOSS30,IP,C1661,FRS002,INV128471,Banana 1kg,2.0,5.5,2025-07-20 10:14:00,4.8
YEAR_END15,IP,C1814,BEV001,INV128619,Coca Cola 1.5L,2.0,4.5,2025-03-15 18:35:00,3.8
NONE,KL,C1330,PER001,INV128831,Shampoo 650ml,4.0,15.9,2025-11-27 10:14:00,10.4
NONE,CH,C2394,SNK001,INV129005,Potato Chips BBQ,2.0,6.9,2025-07-28 16:24:00,3.0
LOSS30,JB,C2655,PER001,INV129045,Shampoo 650ml,1.0,15.9,2025-09-15 21:55:00,10.4
NONE,KL,C1480,SNK002,INV129442,Chocolate Cookies 200g,2.0,8.2,2025-07-22 09:11:00,4.6
NONE,PJ,C2431,FRS001,INV129609,Apple Fuji 1kg,2.0,8.5,2025-03-31 14:03:00,7.0
YEAR_END15,KL,C1401,FRS001,INV130156,Apple Fuji 1kg,2.0,8.5,2025-10-14 10:49:00,7.0
NONE,KL,C2103,FRS001,INV130199,Apple Fuji 1kg,2.0,8.5,2025-11-11 12:01:00,7.0
YEAR_END15,PG,C1130,BEV001,INV130396,Coca Cola 1.5L,1.0,4.5,2025-12-22 14:16:00,3.8
NONE,PJ,C2069,FRS001,INV130513,Apple Fuji 1kg,1.0,8.5,2025-02-22 15:15:00,7.0
NONE,SB,C2405,HOM001,INV130549,Detergent 2kg,1.0,18.9,2025-08-30 19:18:00,15.2
NONE,CH,C2568,SNK001,INV130724,Potato Chips BBQ,2.0,6.9,2025-09-04 19:17:00,3.0
MEMBER8,KL,C2133,BEV003,INV130755,Orange Juice 1L,2.0,7.9,2025-02-04 09:38:00,5.9
NONE,KL,C1713,BEV002,INV131098,Mineral Water 500ml,3.0,1.8,2025-10-01 15:40:00,0.6
NONE,PG,C2063,BEV003,INV131273,Orange Juice 1L,1.0,7.9,2025-04-06 13:31:00,5.9
NONE,KL,C1899,BEV003,INV131357,Orange Juice 1L,1.0,7.9,2025-10-17 17:32:00,5.9
YEAR_END15,CH,C2270,FRZ001,INV131676,Chicken Nugget 1kg,2.0,14.9,2025-11-30 16:02:00,11.8
NONE,IP,C2415,FRZ001,INV131759,Chicken Nugget 1kg,3.0,14.9,2025-06-09 15:18:00,11.8
NONE,SB,C1334,HOM001,INV131898,Detergent 2kg,3.0,18.9,2025-03-17 12:20:00,15.2
NONE,PJ,C2553,FRZ001,INV132596,Chicken Nugget 1kg,2.0,14.9,2025-09-27 18:13:00,11.8
NONE,IP,C2335,HOM001,INV132669,Detergent 2kg,4.0,18.9,2025-01-12 12:57:00,15.2
CNY10,IP,C1633,PER001,INV132904,Shampoo 650ml,3.0,15.9,2025-10-18 12:16:00,10.4
NONE,PJ,C1381,PER001,INV133039,Shampoo 650ml,4.0,15.9,2025-11-26 12:46:00,10.4
NONE,KL,C2207,BEV003,INV133324,Orange Juice 1L,3.0,7.9,2025-03-23 10:52:00,5.9
CNY10,PJ,C2723,SNK002,INV133339,Chocolate Cookies 200g,2.0,8.2,2025-03-31 13:28:00,4.6
NONE,IP,C2136,PER002,INV133345,Body Wash 1L,5.0,14.2,2025-12-29 14:25:00,9.7
MEMBER8,IP,C1269,BEV002,INV133606,Mineral Water 500ml,2.0,1.8,2025-11-15 12:18:00,0.6
NONE,KL,C1685,PER002,INV133726,Body Wash 1L,1.0,14.2,2025-01-14 21:07:00,9.7
YEAR_END15,CH,C2078,HOM001,INV133780,Detergent 2kg,1.0,18.9,2025-05-02 16:05:00,15.2
MEMBER8,KL,C2560,FRZ001,INV133863,Chicken Nugget 1kg,2.0,14.9,2025-01-04 21:43:00,11.8
NONE,CH,C2191,BEV003,INV133898,Orange Juice 1L,2.0,7.9,2025-04-13 18:04:00,5.9
NONE,PG,C1767,SNK001,INV134157,Potato Chips BBQ,1.0,6.9,2025-07-06 17:32:00,3.0
MEMBER8,PJ,C2745,FRS001,INV134683,Apple Fuji 1kg,2.0,8.5,2025-01-22 12:25:00,7.0
NONE,PG,C1019,HOM001,INV135482,Detergent 2kg,1.0,18.9,2025-07-06 17:13:00,15.2
NONE,KL,C1036,PER002,INV135570,Body Wash 1L,1.0,14.2,2025-11-24 15:43:00,9.7
LOSS30,PJ,C1380,FRZ001,INV135859,Chicken Nugget 1kg,1.0,14.9,2025-06-01 13:16:00,11.8
NONE,IP,C2538,BEV003,INV136161,Orange Juice 1L,3.0,7.9,2025-06-03 17:07:00,5.9
NONE,KL,C2549,HOM001,INV136432,Detergent 2kg,1.0,18.9,2025-05-19 13:06:00,15.2
NONE,JB,C2495,HOM001,INV136641,Detergent 2kg,2.0,18.9,2025-07-21 19:38:00,15.2
YEAR_END15,CH,C1287,SNK001,INV136862,Potato Chips BBQ,2.0,6.9,2025-06-27 11:23:00,3.0
MEMBER8,KL,C2137,FRZ001,INV136950,Chicken Nugget 1kg,5.0,14.9,2025-12-01 19:35:00,11.8
NONE,JB,C1086,FRZ001,INV137386,Chicken Nugget 1kg,4.0,14.9,2025-01-01 13:52:00,11.8
YEAR_END15,CH,C1416,BEV001,INV137747,Coca Cola 1.5L,2.0,4.5,2025-10-04 09:19:00,3.8
NONE,PG,C2030,PER001,INV137765,Shampoo 650ml,1.0,15.9,2025-09-19 11:28:00,10.4
NONE,IP,C1730,PER002,INV137912,Body Wash 1L,4.0,14.2,2025-06-11 20:20:00,9.7
NONE,IP,C2580,FRS001,INV138277,Apple Fuji 1kg,2.0,8.5,2025-01-20 13:08:00,7.0
NONE,SB,C1971,BEV002,INV138411,Mineral Water 500ml,1.0,1.8,2025-01-01 13:52:00,0.6
MEMBER8,PJ,C2096,SNK002,INV138414,Chocolate Cookies 200g,2.0,8.2,2025-10-20 11:30:00,4.6
NONE,JB,C2437,HOM002,INV138528,Dishwashing Liquid 900ml,4.0,9.5,2025-04-13 18:50:00,6.1
NONE,KL,C2121,PER002,INV138737,Body Wash 1L,2.0,14.2,2025-03-18 09:09:00,9.7
NONE,IP,C2717,BEV001,INV138850,Coca Cola 1.5L,2.0,4.5,2025-01-14 16:17:00,3.8
LOSS30,PJ,C2079,HOM001,INV139079,Detergent 2kg,3.0,18.9,2025-12-02 14:57:00,15.2
NONE,SB,C1279,BEV003,INV139121,Orange Juice 1L,2.0,7.9,2025-05-06 19:14:00,5.9
YEAR_END15,KL,C1845,FRS001,INV139149,Apple Fuji 1kg,2.0,8.5,2025-07-08 13:06:00,7.0
NONE,CH,C1808,SNK001,INV139453,Potato Chips BBQ,1.0,6.9,2025-05-25 16:49:00,3.0
NONE,PJ,C1403,BEV002,INV139570,Mineral Water 500ml,4.0,1.8,2025-10-28 18:56:00,0.6
MEMBER8,KL,C2064,SNK002,INV139588,Chocolate Cookies 200g,1.0,8.2,2025-01-08 19:00:00,4.6
MEMBER8,IP,C2522,PER001,INV139749,Shampoo 650ml,2.0,15.9,2025-01-04 14:48:00,10.4
MEMBER8,PJ,C1900,FRZ001,INV139919,Chicken Nugget 1kg,2.0,14.9,2025-01-21 18:08:00,11.8
NONE,IP,C2174,HOM001,INV140005,Detergent 2kg,3.0,18.9,2025-10-17 13:22:00,15.2
MEMBER8,PJ,C1731,BEV003,INV140091,Orange Juice 1L,2.0,7.9,2025-08-20 15:27:00,5.9
YEAR_END15,PJ,C1240,SNK001,INV140301,Potato Chips BBQ,1.0,6.9,2025-04-11 21:17:00,3.0
NONE,JB,C1410,FRS001,INV140419,Apple Fuji 1kg,1.0,8.5,2025-06-16 12:47:00,7.0
NONE,PJ,C2742,BEV003,INV140657,Orange Juice 1L,1.0,7.9,2025-11-15 20:48:00,5.9
NONE,CH,C1166,FRS002,INV140993,Banana 1kg,2.0,5.5,2025-04-07 16:30:00,4.8
YEAR_END15,JB,C1334,FRZ001,INV141011,Chicken Nugget 1kg,1.0,14.9,2025-03-13 17:41:00,11.8
NONE,KL,C2137,HOM002,INV141340,Dishwashing Liquid 900ml,1.0,9.5,2025-02-04 15:58:00,6.1
NONE,SB,C2702,BEV003,INV141642,Orange Juice 1L,3.0,7.9,2025-07-28 17:48:00,5.9
LOSS30,KL,C2481,PER002,INV141987,Body Wash 1L,2.0,14.2,2025-02-10 17:26:00,9.7
NONE,PJ,C1679,BEV001,INV142172,Coca Cola 1.5L,1.0,4.5,2025-04-30 13:39:00,3.8
CNY10,SB,C2311,HOM002,INV142353,Dishwashing Liquid 900ml,3.0,9.5,2025-04-21 12:18:00,6.1
YEAR_END15,PJ,C1591,SNK002,INV142627,Chocolate Cookies 200g,1.0,8.2,2025-05-14 19:41:00,4.6
YEAR_END15,IP,C1091,SNK001,INV142817,Potato Chips BBQ,2.0,6.9,2025-12-13 16:51:00,3.0
CNY10,KL,C1817,HOM001,INV142839,Detergent 2kg,3.0,18.9,2025-03-27 12:17:00,15.2
NONE,IP,C1520,BEV002,INV142921,Mineral Water 500ml,1.0,1.8,2025-10-28 15:27:00,0.6
YEAR_END15,PJ,C1586,BEV002,INV142950,Mineral Water 500ml,2.0,1.8,2025-04-18 21:03:00,0.6
MEMBER8,JB,C2363,BEV001,INV143003,Coca Cola 1.5L,1.0,4.5,2025-12-18 09:59:00,3.8
NONE,KL,C1443,PER001,INV143497,Shampoo 650ml,1.0,15.9,2025-09-03 14:43:00,10.4
YEAR_END15,JB,C2196,BEV002,INV143901,Mineral Water 500ml,3.0,1.8,2025-10-18 09:44:00,0.6
NONE,CH,C2653,BEV002,INV143971,Mineral Water 500ml,1.0,1.8,2025-11-19 16:51:00,0.6
YEAR_END15,CH,C2318,FRZ001,INV144196,Chicken Nugget 1kg,4.0,14.9,2025-01-11 13:00:00,11.8
CNY10,KL,C2310,BEV001,INV144504,Coca Cola 1.5L,2.0,4.5,2025-03-01 12:38:00,3.8
CNY10,KL,C2594,BEV002,INV144921,Mineral Water 500ml,2.0,1.8,2025-10-24 11:55:00,0.6
LOSS30,JB,C1470,PER001,INV145435,Shampoo 650ml,1.0,15.9,2025-06-29 14:55:00,10.4
CNY10,SB,C2067,FRZ001,INV145472,Chicken Nugget 1kg,1.0,14.9,2025-02-05 13:43:00,11.8
CNY10,PJ,C2528,HOM002,INV145511,Dishwashing Liquid 900ml,2.0,9.5,2025-07-09 19:49:00,6.1
NONE,PJ,C2416,FRS002,INV145520,Banana 1kg,2.0,5.5,2025-04-28 20:22:00,4.8
NONE,PG,C1580,PER002,INV145724,Body Wash 1L,1.0,14.2,2025-06-13 17:45:00,9.7
CNY10,KL,C1169,HOM001,INV145738,Detergent 2kg,2.0,18.9,2025-06-03 21:02:00,15.2
NONE,KL,C2073,HOM001,INV146290,Detergent 2kg,1.0,18.9,2025-07-27 14:27:00,15.2
NONE,KL,C2778,SNK001,INV146355,Potato Chips BBQ,3.0,6.9,2025-06-07 16:57:00,3.0
NONE,IP,C2376,BEV001,INV146366,Coca Cola 1.5L,2.0,4.5,2025-12-18 17:26:00,3.8
LOSS30,CH,C1841,SNK001,INV146407,Potato Chips BBQ,3.0,6.9,2025-09-06 14:19:00,3.0
